Covidence #,Study ID,Title,Reviewer Name,Type of study,Species,Region,Metric used or described,Citation for metric if not introduced in this current paper,Interpretation,Data input required,"Definitions of ""leader"", ""initiator"", etc",Dominance metric,Interpretation,Citation for dominance metric if not introduced in this paper,Analysis code availability,Programming language,Analysis code link,Analysis code availability location,Software package(s) used,Other comments about code availability,Discussion,Etc
361,Laube 2005,Discovering relative motion patterns in groups of moving point objects,Consensus,Empirical,NA,NA,proximity; concurrence; constance; trend-setter; track; flock; leadership; convergence; encounter; divergence; breakup,Laube and Imfeld 2002,NA,XYT,leadership extends flock with constance  over previous time steps,"",NA,NA,No,NA,NA,NA,NA,NA,discuss implementations of REMO,NA
358,Body 2015,Fission-fusion group dynamics in reindeer reveal an increase of cohesiveness at the beginning of the peak rut,Consensus,Empirical,Rangifer tarandus,"Kaamanen, Finland",nearest neighbour distances,NA,NA,XYT,fusion gte 2 groups merging into one; fission one group splitting into gte 2,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,chain rule nearest neighbour distance to identify aggregation
357,DellaLibera 2023,Fission-fusion dynamics in sheep: the influence of resource distribution and temporal activity patterns,Consensus,Empirical,Ovis aries,"Fowler's Gap Arid Zone Research Station, Australia",sticky DBSCAN,"original DBSCAN: Ester M, Kriegel HP, Sander J, Xu X. 1996 A
density-based algorithm for discovering clusters in large spatial databases with noise. In Proc. of the 2nd Int. Conf. on Knowledge Discovery and Data Mining (KDD’96), pp. 226–231. Portland, OR: AAAI Press.",double radius stick DBSCAN improves on defining membership in a social group with a single radius by reducing fluctuations in membership from small changes in distances between individuals,XYT,"define a fission and fusion event if one or more individuals left or  joined the group, respectively. in the rare cases of missing data, missing individuals are not considered as having changed group membership, and individual ‘disappearances’ and ‘reappearances’ in the dataset are not considered as fission–fusion events",NA,NA,NA,Yes,Wolfram Mathematica; R,https://resources.wolframcloud.com/PacletRepository/resources/KatjaDellaLibera/StickyDBSCAN; https://github.com/katjadellalibera/StickyDBSCAN,GitHub; Wolfram Cloud,NA,data https://datadryad.org/stash/dataset/doi:10.5061/dryad.59zw3r2d6; R used for models; Mathematica used for DBSCAN ,NA,NA
355,Sankey 2022,Pigeon leadership hierarchies are not dependent on environmental contexts or individual phenotypes,Consensus,Empirical,Columba livia,"Royal Holloway University of London, UK",speed; route efficiency; directional correlation delay; spatial position within group,Nagy 2010,leadership score as per Nagy 2010 and Pettit 2015 where 0.2 leadership score is on average a 0.2 s turning ahead of group,XYT,NA,video,NA,NA,No,NA,NA,NA,NA,NA,NA,NA
352,Wielgus 2020,Are fission-fusion dynamics consistent among populations? A large-scale study with Cape buffalo,Consensus,Empirical,Syncerus caffer caffer,"Gonarezhou National Park and Hwange National Park, Zimbabwe; Kruger National Park, South Africa",IID,NA,NA,XYT,group where simultaneously within 1 km or >= 1 km for <= 2 hr; fusion where together then different by one time step; fission reverse,NA,NA,NA,No,R,NA,NA,adehabitatHR,NA,NA,"mgcv, glmmTMB, performance"
350,Nishikawa 2014,Activity and social factors affect cohesion among individuals in female Japanese macaques: A simultaneous focal-follow study,Consensus,Empirical,Macaca fuscata,"Yakushuma Island, Japan",interindividual distances; ,NA,NA,XYT,converged when IID less than 20 m; separated when IID greater than 20  m,ad libitum,NA,NA,No,R,NA,NA,NA,NA,NA,NA
343,Long 2014,A critical examination of indices of dynamic interaction for wildlife telemetry studies,Consensus,Empirical; Simulation,Odocoileus virginianus,"Oklahoma, USA",Prox; Ca; Don; Cs; Lixn; HAI; Cr; DI,NA; Cole 1949; Doncaster 1990; Minta 1992; Kenward 1993; Atwood and Weeks 2003; Shirabe 2006; Long and Nelson 2013,see Table 2,XYT,NA,NA,NA,NA,Yes,R,www.geog.uvic.ca/spar/DynamicInteraction,Link,NA,Link is now dead,NA,excellent Table 2
339,Yomosa 2013,Spatio-Temporal Structure of Hooded Gull Flocks,Consensus,Empirical,LLarus ridibundus,"Osaka, Japan",nearest neighbour distance; directional correlation delay; bearing and distance compared to group centroid and average bearing,Nagy 2010,NA,XYT,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA
337,Akos 2014,Leadership and Path Characteristics during Walks Are Linked to Dominance Order and Individual Traits in Dogs,Consensus,Empirical,Canis familiaris,Hungary,directional correlation delay,Nagy 2010,leading tendency,XYT,NA,leadership hierarchy derived from directional correlation delay; dominance questionnaire,NA,NA,No,NA,NA,NA,NA,NA,"""correlation between leadership and dominance is consistent with a trend in ‘despotic’ social mammals """,also used Dog Personality Questionnaire
333,Goldenberg 2022,Social integration of translocated wildlife: a case study of rehabilitated and released elephant calves in northern Kenya,Consensus,Empirical,Loxodonta africana,"Reteti Elephant Sanctuary, Kenya",interindividual distance,NA,NA,XYT,NA,NA,NA,NA,No,R,NA,NA,NA,NA,NA,NA
328,Nishikawa 2021,Activity synchrony and travel direction synchrony in wild female Japanese macaques,Consensus,Empirical,Macaca fuscata,"Yakushima, Japan",interindividual distance; kappa coefficient; synchronization of travel direction,kappa coefficient Cohen 1960,proportion of synchronization of behaviour compared to expected synchronization if activity patterns were random,XYT,NA,ad libitum,NA,NA,No,R,NA,NA,"",NA,"",NA
305,Sárová 2010,Graded leadership by dominant animals in a herd of female beef cattle on pasture,Consensus,Empirical,Bos taurus,"Institute of Animal Science, Prague, Czech Republic ",position along axis of group movement; position within group; bearing; step length; alignment with nearest neighbour; alignment with group centroid,NA,NA,XYT,NA,ad libitum,NA,NA,No,R,NA,NA,NA,NA,"leadership arises from dominant cows positioned towards the front of the group, with straighter and shorter trajectories and more aligned with nearest neighbours and group",NA
304,Eikelboom 2020,Inferring an animal's environment through biologging: quantifying the environmental influence on animal movement,Consensus,Empirical,Holstein-Friesian dairy cows,"Wageningen, Netherlands",interindividual distance,NA,NA,XYT,NA,NA,NA,NA,Yes,R, https://doi.org/10.4121/uuid:e552fe57-ab4f-4e31-83e3-82e1cbc06a70,4TU.ResearchData,NA,NA,NA,NA
287,Wang 2022,The impact of individual perceptual and cognitive factors on collective states in a data-driven fish school model,Consensus,Model,Hemigrammus rhodostomus,NA,group dispersion; group polarization; milling,this paper,milling measures how much fish are turning in the same direction,XYT,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA
285,Krueger 2014,Movement initiation in groups of feral horses,Consensus,Empirical,Equus ferus caballus,"Frosinone, Italy",herding; departure from group; spatial organization of group; pairwise following order,NA,herding is chasing individuals in a certain direction; departure;,XYT,NA,scan sampling behavioural data,NA,NA,No,SPSS; R; Ucinet,NA,NA,NA,NA,NA,NA
283,Lemasson 2014,Schooling Increases Risk Exposure for Fish Navigating Past Artificial Barriers,Consensus,Empirical,Morone chrysops X Morone saxatilis,"Denver, CO, USA",orientation with respect to flow; speed; acceleration; turning angle; mean group size; variability of group size; nearest neighbour distance; direction to nearest neighbour,NA,NA,XYT,group when within 5 body lengths,NA,NA,NA,No,R,NA,NA,NA,NA,NA,NA
278,Chisholm 2019,Parsimonious test of dynamic interaction,Consensus,Empirical,Panthera pardus; Lycaon pictus,Northern Botswana,perturbation based association and avoidance ,this paper,tests for avoidance or association by perturbation of observed data of interindividual distances,XYT,NA,NA,NA,NA,Yes,MATLAB,https://github.com/ChisholmSarah/Avoidance,GitHub,NA,NA,NA,NA
256,Milner 2021,Modelling and inference for the movement of interacting animals,Consensus,Empirical; Simulation,Papio anubis,Mpalla Research Centre; Kenya,Prox; dynamic interaction displacement and directio,Long et al 2014,NA,XYT,leader is animal that is dominant to at least one and subordinate to none,NA,NA,NA,Yes,R,https://github.com/jemilner/influenceHierarchy; https://doi.org/10.5281/zenodo.3972134,GitHub; Zenodo,wildlifeDI,data available on Movebank,NA,NA
248,Miller 2015,Towards a Better Understanding of Dynamic Interaction Metrics for Wildlife: a Null Model Approach,Consensus,Empirical,Hyaena brunnea,"Makgadikgadi Pans, Botswana",risk-ratio; Prox; Lixn; Cs; HAI; IAB,Doncaster 1990;  Bertrand et al 1996; Minta 1992; Poole 1995; Atwood and Weeks 2003; Benhamou et al 2014,NA,XYT,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,interaction metrics can be classified as static or dynamic; comparison to multiple null models,great table 2
241,Inoue 2019,Spatial positioning of individuals in a group of feral horses: a case study using drone technology,Consensus,Empirical,Garrano horses,"Serra D’Arga, Portugal",interindividual distance; nearest neighbour distance; distance from group center; orientation alignment,NA,NA,XYT; posture,proximity defined as two body lengths away ,ad hoc observations of aggression and grooming behaviours,NA,NA,No,R; Ucinet,NA,NA,NA,NA,drone,NA
239,Calabrese 2018,Disentangling social interactions and environmental drivers in multi-individual wildlife tracking data,Consensus,Empirical,Rangifer tarandus granti; Equus hemionus,"Arctic National Wildlife Refuge, Alaska, USA and Yukon, Canada; southwest Gobi",stochastic process model; partitioning algorithm,this paper,drift correlation is the tendency to move in a particular direction; diffusive correlation is the shared tendency to move in random directions,XYT; requires consistent sampling schedule,NA,NA,NA,NA,Yes,R,https://royalsocietypublishing.org/doi/suppl/10.1098/rstb.2017.0007,Supplemental materials,corrMove,corrMove package developed to provided ease to use interface to these metrics,NA,NA
230,Pimentel 2022,Impact of genetic relatedness and food competition on female dominance hierarchies in a cichlid fish,Consensus,Empirical,Pelvicachromis taeniatus,"Limbe, West Cameroon",approach avoidance,AA Nagy et al 2013; ,NA,XYT,NA,video observations,NA,NA,No,Ctrax; R,NA,NA,NA,NA,NA,NA
211,AssocCompMachinery 2018,Use of Position Tracking to Infer Social Structure in Rhesus Macaques,Consensus,Empirical,Macaca mulatta,NA,NA,NA,NA,NA,NA,fleeing event ,focal individual moves directly away from target more often than reverse,this paper,No,NA,NA,NA,NA,NA,NA,NA
197,Strandburg-Peshkin 2015,Shared decision-making drives collective movement in wild baboons,Consensus,Empirical,Papio anubis,"Mpala Research Centre, Kenya",movement initiations pull and anchor; bearing; directional alignment; IID; movement disparity; movement strength,pull and anchor this paper,pull where initiator individual moved away from another and was either followed (pull) or was not and returned (anchor),XYT,NA,approach-avoidance; Elo scores,"uses IID to identify approach-avoid interactions, manual inspected each using animations in Google Earth",Seyfarth 1976,No,R,NA,NA,NA,"""Code for extracting pulls and anchors from trajectory data will be made available online.""",decision making,https://www.science.org/doi/suppl/10.1126/science.aaa5099/suppl_file/aaa5099-strandburg-peshkin-sm.pdf
195,Lesmerises 2018,Landscape knowledge is an important driver of the fission dynamics of an alpine ungulate,Consensus,Empirical,Rangifer tarandus caribou,"Gaspesie, Quebec, Canada",interindividual distance; ,NA,NA,XYT,grouped if within 50 m for two relocations,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA
184,Evans 2018,Inferring dominance interactions from automatically recorded temporal data,Consensus,Empirical,Poecile atricapillus,"Ottawa, Ontario, Canada",NA,NA,NA,XYT; RFID;,NA,displacement events; directional consistency index,displacement where B displaces A if B arrives within i seconds of A departing and stays for a minimum of j seconds; DCI number of interactions in the most frequent direction - less frequent direction,this paper; DCI: van Hoof and Wensing 1978,No,R,NA,NA,EloRating,NA,NA,NA
170,Strandburg-Peshkin 2018,Inferring influence and leadership in moving animal groups,Consensus,Review,NA,NA,spatial position within group; successful and failed pulls; directional correlation delay; transfer entropy and optimal causation entropy,Strandburg-Peshkin 2015; Nagy 2010; Sun 2015 J Appl Dyn Syst and Lord 2016 arxiv,"entropy is a measure of uncertainty in a distribution of values eg. low ability to predict bearing if it has high entropy, transfer entropy is an asymmetric measure capturing the flow of information from one time series to another",XYT,an individual leads if it has repeated influence either directly or hierarchically on the behaviour of others,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA
169,Attanasi 2015,Emergence of collective changes in travel direction of starling flocks from individual birds' fluctuations,Consensus,Empirical,Sturnus vulgaris,Rome,centre of mass velocity; rank of turn order,NA,NA,XYT,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA
164,Nagy 2013,Context-dependent hierarchies in pigeons,Consensus,Empirical,Columba livia,"Oxford, England",directional correlation delay,Nagy et al 2010,NA,XYT,NA,feeding-queuing; approach-avoidance; manually scored agonistic interactions,"We classified a bird as “feeding” if it was located within a radius of <20 cm from the cup, with the head pointing toward the cup’s center (±30°). We classified a bird as “queuing” if it was in the vicinity of the food cup (<60 cm from the cup) but was not feeding according to our
criteria; AA was defined for each pair of birds (i ≠ j) as the time-averaged dot product of i’s velocity and the direction from i to j. We averaged AAij across all frames when i and j were within 50 cm of each other and i was moving at least 0.05 ms−1. AAij is positive
if i tends to approach j and negative if i tends to avoid j ",this paper,No,NA,NA,NA,NA,NA,NA,NA
157,Jiang 2017,Identifying influential neighbors in animal flocking,Consensus,Empirical,Hemigrammus rhodostomus,"Toulouse, France",time-dependent directional correlations; rank of position within group; average group velocity; group centroid,this paper; ,NA,XYT,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,"The delays with which individuals align with each other have in fact been exploited to determine social hierarchies in animal groups, as shown, e.g., for pigeon flocks [Nagy 2010], where the leadership
network is constructed with link weights given by the delay for which pairwise angle correlation is maximal. Improvements on how to identify such delays from movement data have proposed the use of time-dependence in pairwise angle correlation [Nagy 2013]. A computational analysis, based on similarities between trajectories (Frechet distance), has also been proposed and implemented in a visual analytic tool [Konzack 2016]. A different approach has made use of a time-ordering procedure on the pairwise angle correlation to determine temporary leader/follower relations in foraging pairs of echolocating bats [Giuggioli 2015]","null model to ""control for spurious correlations, correlation is not causation"""
154,Sankey 2021,"Consensus of travel direction is achieved by simple copying, not voting, in free-ranging goats",Consensus,Empirical,Capra aegagrus hircus,"Namib Desert, Namibia",bearing; group centroid; group mean bearing; speed; change point analysis; decision parameter; pairwise time lag correlation,change point analysis Killick 2014,decision parameter estimates how closely the group's orientation matches departure directiion,XYT,NA,NA,NA,NA,Yes,R,https://github.com/swarm-lab/goatCollectiveDecision; https://github.com/sankeydan/voteABM,GitHub; Zenodo,CircStats; compete; changepoint,rho.circular from CircStats to calculate polar alignment,NA,NA
148,Watts 2017,Validating two-dimensional leadership models on three-dimensionally structured fish schools,Consensus,Empirical,Astyanax mexicanus,"Oxford, UK",directional correlation delay,Nagy et al 2010; ,NA,XYT,NA,NA,NA,NA,No,StreamPix 5; MATLAB; R; Perl; CUDA,NA,NA,NA,data http://dx.doi.org/10.5061/dryad.j0226,NA,supplemental https://dx.doi.org/10.6084/m9.figshare.c.3647846
147,Lukeman 2010,Inferring individual rules from collective behavior,Consensus,Empirical,Melanitta perspicillata,"Burrard Inlet, Vancouver, BC",zones; interindividual distance; direction; speed,Couzin et al 2002,NA,XYT,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA
132,Bonnell 2017,Individual-level movement bias leads to the formation of higher-order social structure in a mobile group of baboons,Consensus,Empirical,Papio hamadryas,"De Hoop Nature Reserve, South Africa",model coefficient of direction matching at the group and individual level,"Bonnel Henzi Barrett 2017, Rivest Duschesne Nicosia Fortin 2016, Eriksson Nilsson, Nystrom, Tunstrom 2010",NA,XYT,NA,ad hoc records of agonistic contest,NA,NA,Yes,R,https://github.com/tbonne/Rcode_Baboon_Movement_Bias/,GitHub,igraph; rethinking,data https://datadryad.org/stash/dataset/doi:10.5061/dryad.kv2kh,"identity matters where individuals were more likely to move away from or towards specific individuals than move based on the trajectory of the group, also dominance rank related differences",direct model based approach based on directions of travel
108,Klamser 2021,Collective predator evasion: Putting the criticality hypothesis to the test,Consensus,Model,NA,NA,distance; zones; voronoi; ,NA,NA,XYT,NA,NA,NA,NA,Yes,Python; C++,https://github.com/PaPeK/PredatorPrey,GitHub,numpy; h5py; matplotlib; pathlib,NA,NA,evolutionary algorithm
102,Chen 2020,Probabilistic causal inference for coordinated movement of pigeon flocks,Consensus,Model,Columba livia,"Oxford, UK",optimal causal entropy principle,this paper,information entropy with time delay,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,Vicsek 2012
100,Dodge 2021,ORTEGA: An object-oriented time-geographic analytical approach to trace space-time contact patterns in movement data,Consensus,Empirical,Panthera tigris;  Panthera pardus,"Western Forest Complex, Thailand",potential path area; ORTEGA,Miller 2005 and Long and Nelson 2015; this paper,"PPAij ellipse delineates the spatial locations accessible to a moving entity during interval ti tj, intersection of PPAs delimits potential area for a dyadic interaction",XYT,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,concurrent and delayed interaction,NA
99,Li 2011,MoveMine: Mining Moving Object Data for Discovery of Animal Movement Patterns,Consensus,Application,Software,NA,leadership mining,Gudmundsson et al 2004,NA,XYT,NA,NA,NA,NA,No,MoveMine,NA,NA,NA,presents point and click application,"Periodic pattern [Mamoulis et al. 2004], periodic behavior [Liet al. 2010b, 2010c]; Moving clusters: flock [Gudmundsson and van Kreveld
2006], convoy [Jeung et al. 2008b], swarm [Li et al. 2010c], follower/leadership [Gudmundsson et al. 2008]; Trajectory-pattern [Giannotti et al. 2007]",NA
92,Mudaliar 2020,Examination of an averaging method for estimating repulsion and attraction interactions in moving groups,Consensus,Model,NA,NA,zones,Couzin et al 2002; ,NA,XYT,NA,NA,NA,NA,No,MATLAB,NA,NA,NA,NA,NA,NA
90,Jiang 2018,Understanding environment-influenced swarm behavior from a social force perspective,Consensus,Model,NA,NA,zones,zones: Couzin et al 2002; ,NA,XYT,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,social force model
80,Herbert-Read 2017,How predation shapes the social interaction rules of shoaling fish,Consensus,Empirical,Poecilia reticulata,"University of West Indies, Mona, Jamaica",distance to group centroid; group velocity; directional alignment; interindividual distance; ,NA,NA,XYT,NA,NA,NA,NA,No,MATLAB,NA,NA,NA,all analyses were done with bespoke scripts,NA,supplemental methods: https://royalsocietypublishing.org/action/downloadSupplement?doi=10.1098%2Frspb.2017.1126&file=rspb20171126supp1.pdf
74,Ozogány 2023,"Fine-scale collective movements reveal present, past and future dynamics of a multilevel society in Przewalski's horses",Consensus,Empirical,Equus ferus przewalskii,"Hortobágy National Park, Hungary",pairwise distance; directional correlation delay; ,Nagy et al 2010 Akos et al 2014,NA,XYT,NA,NA,NA,NA,Yes,MATLAB; Python; CUDA,https://github.com/katalinozogany/wildhorse_mls,GitHub,NA,NA,NA,proximity networks
63,Sumpter 2018,Using activity and sociability to characterize collective motion,Consensus,Empirical,Poecilia reticulata,Sweden,speed; bearing; turning rate; distance from arena center; cross correlation in speed; reaction time; nearest neighbour alignment; nearest neighbour distance; ,NA,NA,XYT,NA,NA,NA,NA,No,R,NA,NA,NA,NA,NA,NA
61,Jolles 2015,The role of social attraction and its link with boldness in the collective movements of three-spined sticklebacks,Consensus,Empirical,Gasterosteus aculeatus,"Cambridge, UK",interindividual distance,NA,NA,XYT,NA,NA,NA,NA,No,R,NA,NA,NA,NA,NA,boldness
58,Andersson 2008,Reporting leaders and followers among trajectories of moving point objects,Consensus,Algorithm,NA,NA,front region,this paper,NA,XYT,leader if and only if individual doesnt follow anyone and is followed by N others,NA,NA,NA,No,Java; NetLogo,NA,NA,NA,NA,REMO,NA
57,Nagy 2010,Hierarchical group dynamics in pigeon flocks,Consensus,Empirical,Columba livia,Hungary,directional correlation delay,this paper,NA,XYT,NA,hierachical leadership from directional correlation delay,pairwise delay in following directional choices,this paper,No,NA,NA,NA,NA,data https://hal.elte.hu/pigeonflocks/files/readme_pigeonflocks_data.pdf; ,NA,supplemental https://hal.elte.hu/pigeonflocks/files/SI.pdf
56,Farine 2016,Both Nearest Neighbours and Long-term Affiliates Predict Individual Locations During Collective Movement in Wild Baboons,Consensus,Empirical,Papio anubis,"Mpala Research Centre, Kenya",centroid of k nearest neighbours,NA,NA,XYT,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,predict baboon movements using locations of nearest neighbours and affiliation relationships,NA
53,Jolles 2017,Consistent Individual Differences Drive Collective Behavior and Group Functioning of Schooling Fish,Consensus,Empirical; Simulation,Gasterosteus aculeatus,"Cambridge, UK",position; direction; speed; zones; nearest neighbour distance; interindividual distance; direction to group center; distance to group center; mean interindividual distance; speed of group center; group cohesion; polarization,Couzin et al 2002; Couzin et al 2005; CoIoannou et al 2015,NA,XYT,leader in terms of propagation of movement changes in the group,leadership network,NA,leadership network: Nagy 2010,Yes,C++; Python; R,https://github.com/vivekhsridhar/individual_differences; https://zenodo.org/records/840644,GitHub; Zenodo,OpenCV,NA,NA,sociability assay; boldness assay; 
49,Merkle 2015,To follow or not? How animals in fusion-fission societies handle conflicting information during group decision-making,Consensus,Empirical,Bison bison,"Prince Albert National Park, Canada",interindividual distance,NA,NA,XYT,group defined as within 100 m within 24 hours,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA
47,Vega-Trejo 2020,Artificial selection for schooling behaviour and its effects on associative learning abilities,Consensus,Empirical,Poecilia reticulata,"Stockholm, Netherlands",group polarization,NA,NA,XYT,NA,NA,NA,NA,Yes,R,https://osf.io/e7dnh,OSF,NA,only model and figures,NA,NA
36,Nagy 2018,"Synchronization, coordination and collective sensing during thermalling flight of freely migrating white storks",Consensus,Empirical,Ciconia ciconi,Germany to Spain,directional correlation delay; synchronization ratio; synchronized switch in circling direction; velocity,Nagy et al 2010; this paper,NA,XYT,NA,NA,NA,NA,No,Perl; CUDA,NA,NA,NA,data https://www.movebank.org/node/15294,NA,NA
33,King 2015,Social density processes regulate the functioning and performance of foraging human teams,Consensus,Empirical,Humans,NA,interindividual distances; velocity cross-correlation; ,"velocity cross-correlation: Nagy et al 210, Nagy et al 2013",NA,XYT,leader-follower dynamics from velocity-cross correlation,NA,"",NA,No,R,NA,NA,NA,"",NA,NA
29,Klamser 2021,Impact of Variable Speed on Collective Movement of Animal Groups,Consensus,Empirical; Simulation,Poecilia reticulata;  Poecilia formosa,NA,velocity; direction; polarization; voronoi; zones,NA,NA,XYT,NA,NA,NA,NA,Yes,Python; C++,"https://github.com/PaPeK/
swarm-variable-speed",GitHub,numpy; h5py; matplotlib; pathlib,NA,NA,NA
27,Bracken 2022,"Flexible group cohesion and coordination, but robust leader-follower roles, in a wild social primate using urban space",Consensus,Empirical,Papio ursinus,South Africa,group stretch and sphericity; mean nearest neighbour distance; mean distance to group centroid; convex hull area and perimeter; speed of group centroid; mean linear speed across individuals; pulls,"swaRm Garnier 2016 for polarization, group stretch and sphericity; Strandburg-Peshkin 2015 for pulls",social cohesion; group coordination,XYT,leader initiates movement away from another individual (follower) who joins or who doesn't and leader returns ,focal observations,NA,NA,Yes,R,pulls https://web.archive.org/web/20230000000000*/http://crofoot.ucdavis.edu/uploads/5/2/9/1/52914015/extract_pulls.r,Web Archive,NA,https://doi.org/10.6084/m9.figshare.c.5762484,Convex hull area may be particularly sensitive to missing individuals (Worton 1995 Biometrics),NA
25,Harel 2021,Locomotor compromises maintain group cohesion in baboon troops on the move,Consensus,Empirical,Papio anubis,"Mpala Research Centre, Llaikipia, Kenya",change point detection on group centroid displacement speed; position within group; front-back relative positional rank,change point detection: Lavielle 2005 Signal Process.; ,change point detection to determine group travel bouts; relative positional ranks on the front-to-back axis were determined by multiplying their x–y locations by a rotation matrix based on the heading of the centroid,XYT; accelerometer ,NA,NA,NA,NA,No,MATLAB; R,NA,NA,NA,data  https://doi.org/10.5441/001/1.3q2131q5,"evaluated individual stride frequency, daily travel distance, vectorial dynamic body acceleration",NA
23,Flack 2018,From local collective behavior to global migratory patterns in white storks,Consensus,Empirical,Ciconia ciconia,Northwestern Africa to Germany,time advances or delays; spatial position within group,this paper: time advances or delays,how much time a bird needs to reach the current location of the other bird,XYT; accelerometer,leaders are birds who are ahead of the flock on average and followers those who are behind,directional correlation delay,NA,Nagy 2010,No,Perl; CUDA,NA,NA,NA,data: Movebank,NA,supplemental: https://www.science.org/doi/suppl/10.1126/science.aap7781/suppl_file/aap7781_flack_sm.pdf
20,ACM 2007,Reporting Leadership Patterns Among Trajectories,Consensus,Algorithm,NA,NA,front region,self,wedge shaped region at time t defined by distance in front direction within angular limits,XYT,leader IFF x does not follow anyone and is followed by N others; leadership pattern if x is followed by minimum M others for K time unit intervals,NA,NA,NA,No,NA,NA,NA,NA,NA,"algorithm is limited by definition of leader as in the front region of all followers, which may not be possible in a large group where those at the back of the group are too far away to see the leader",Data used is from NetLogo Flocking Model
16,Jolles 2018,Repeatable group differences in the collective behaviour of stickleback shoals across ecological contexts,Consensus,Empirical,Gasterosteus aculeatus,"Cambridge, England",group centroid; speed; distance to group centroid; proportion of time spent in front of group centroid; polarization; variance in proportion of time fish spent in front of group centroid,NA,NA,XYT,measure of leadership as proportion of time spent in front of group centroid,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA
10,Ogino 2023,Challenges of mismatching timescales in longitudinal studies of collective behaviour,Consensus,Empirical,Acryllium vulturinum,Mpala Research Centre; Kenya,interindividual distances,NA,NA,XYT,NA,NA,NA,NA,Yes,R,https://doi.org/10.6084/m9.figshare.21591153.v1,Figshare,NA,NA,"processes influencing individual preferences, group composition; timescales; mismatching scales",NA
8,Strandburg-Peshkin 2017,Habitat and social factors shape individual decisions and emergent group structure during baboon collective movement,Consensus,Empirical,Papio anubis,"Mpala Research Centre, Kenya",speed; mean IID; polarization; directedness; elongation; tilt,NA,directedness is the straightness of the group's path; elongation is the aspect ratio of the group's shape; tilt is the alignment of the group's heading with its long axis,XYT,NA,NA,NA,NA,No,MATLAB,NA,NA,NA,NA,NA,good definitions of each metric
3,Dalziel 2016,"Detecting collective behaviour in animal relocation data, with application to migrating caribou",Consensus,Empirical,Rangifer tarandus,"Quebec, Canada",velocity vector; following order; adjusted order parameter,following order Viscsek 2012; adjusted order parameter presented in this paper,comparison of adjusted order parameter and null statistic for adjusted order using randomized observations tests for collective behaviour,XYT,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,"the approach described here compares observed data to what an independent individual would do 

advection-diffusion processes","The sampling period s is typically <1 second in ethological studies of
collective behaviour (Couzin et al. 2005; Nagy et al. 2010; Berdahl
et al. 2013). However in ecological data, s will typically be much larger, as the spatial distribution of organisms is usually sampled at discrete and relatively distant times in ecological studies, rather than in nearly continuous time.

Existing methods developed for high-throughput ethological data (Eriksson et al. 2010; Nagy et al. 2010; Bode et al. 2012; Gautrais et al. 2012; Berdahl et al. 2013; Nagy et al. 2013) may in some cases work on coarser scale data, but this remains largely untested. In general, scaling up from fine-scale patterns to course scale process is an enduring problem in ecology (Levin 1992).
"
